     # position        density    temperature             vx             vy             vz
   0.85500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.86500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.87500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.88500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.89500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.90500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.91500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.92500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.93500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.94500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.95500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.96500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.97500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.98500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.99500E+001   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.10950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.11950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.12950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.13950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.14950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.15050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.15150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
